cruise,date
2001/0026,2001-02-15
2001/0026,2001-02-16
2001/0026,2001-02-17
2001/0026,2001-02-18
2001/0026,2001-02-19
2001/0026,2001-02-20
2001/0026,2001-02-21
2001/0026,2001-02-22
2001/0026,2001-02-23
2001/0026,2001-02-24
2001/0044,1991-11-08
2001/0044,1991-11-09
2001/0044,1991-11-10
2001/0044,1991-11-12
2001/0044,1991-11-13
2001/0044,1991-11-15
2001/0044,1991-11-16
2001/0044,1991-11-19
2001/0044,1991-11-23
2001/0044,1991-11-24
2001/0044,1991-11-28
2001/0044,1991-11-29
2001/0044,1991-11-30
2001/0051,1989-06-09
2001/0051,1989-06-19
2001/0051,1989-06-20
2001/0051,1989-06-21
2001/0052,1989-11-11
2001/0052,1989-11-13
2001/0052,1989-11-16
2001/0052,1989-11-20
2001/0052,1989-11-21
2001/0052,1989-11-23
2001/0052,1989-11-24
2001/0052,1989-11-26
2001/0053,1994-09-22
2001/0053,1994-09-23
2001/0053,1994-09-24
2001/0053,1994-09-25
2001/0053,1994-09-26
2001/0053,1994-09-27
2001/0053,1994-09-28
2001/0053,1994-09-29
2001/0053,1994-09-30
2001/0053,1994-10-06
2001/0053,1994-10-07
2001/0053,1994-10-08
2001/0053,1994-10-09
2001/0053,1994-10-10
2001/0053,1994-10-11
2001/0053,1994-10-12
2001/0053,1994-10-13
2001/0053,1994-10-14
2001/0053,1994-10-15
2001/0053,1994-10-16
2001/0054,1994-11-14
2001/0054,1994-11-15
2001/0054,1994-11-17
2001/0054,1994-11-19
2001/0054,1994-11-22
2001/0054,1994-11-29
2001/0054,1994-11-30
2001/0055,1995-01-07
2001/0055,1995-01-08
2001/0055,1995-01-09
2001/0055,1995-01-10
2001/0055,1995-01-11
2001/0055,1995-01-12
2001/0055,1995-01-13
2001/0055,1995-01-14
2001/0055,1995-01-15
2001/0055,1995-01-16
2001/0055,1995-01-17
2001/0055,1995-01-18
2001/0055,1995-01-20
2001/0055,1995-01-21
2001/0055,1995-01-22
2001/0055,1995-01-23
2001/0055,1995-01-24
2001/0055,1995-01-25
2001/0055,1995-01-26
2001/0055,1995-01-27
2001/0055,1995-01-28
2001/0055,1995-01-29
2001/0055,1995-01-30
2001/0055,1995-01-31
2001/0055,1995-02-01
2001/0055,1995-02-02
2001/0056,1991-05-07
2001/0056,1991-05-08
2001/0056,1991-05-09
2001/0056,1991-05-14
2001/0056,1991-05-15
2001/0056,1991-05-18
2001/0056,1991-05-20
2001/0057,2001-08-30
2001/0057,2001-08-31
2001/0057,2001-09-01
2001/0057,2001-09-03
2001/0057,2001-09-04
2001/0057,2001-09-05
2001/0057,2001-09-07
2001/0057,2001-09-08
2001/0057,2001-09-09
2001/0057,2001-09-11
2001/0057,2001-09-12
2001/0057,2001-09-13
2001/0057,2001-09-14
2001/0057,2001-09-15
2001/0057,2001-09-16
2001/0057,2001-09-17
2001/0057,2001-09-18
2001/0057,2001-09-19
2001/0057,2001-09-20
2001/0057,2001-09-21
2001/0057,2001-09-22
